     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4223500 2680500  1  2 23  -7.3  975  13  3.1 6  2.0  88    0    0 227 -288  2
4223500 2680500  1  2 24  -7.5  975  25  3.3 6  2.0  89    0    0 228 -287  2
4223500 2680500  1  3  1  -7.4  975   7  2.7 6  2.0  91    0    0 225 -284  2
4223500 2680500  1  3  2  -7.2  975  14  2.7 7  2.1  91    0    0 223 -279  2
4223500 2680500  1  3  3  -7.7  976  27  2.3 6  2.0  91    0    0 215 -274  2
4223500 2680500  1  3  4  -7.7  977  19  2.0 7  2.0  91    0    0 207 -270  2
4223500 2680500  1  3  5  -8.2  977  34  2.6 8  2.0  90    0    0 205 -266  2
4223500 2680500  1  3  6  -8.8  977  48  1.9 5  1.9  90    0    0 196 -263  2
4223500 2680500  1  3  7  -9.2  977  58  2.5 5  1.8  90    0    0 188 -260  2
4223500 2680500  1  3  8 -10.7  978  68  2.0 4  1.7  91    0    0 183 -259  2
4223500 2680500  1  3  9 -10.4  978  78  1.8 3  1.6  90   10    8 177 -258  2
4223500 2680500  1  3 10  -9.8  979  86  1.3 2  1.6  89  106   21 176 -258  2
4223500 2680500  1  3 11  -8.7  979  97  1.8 2  1.7  87  173   35 176 -260  2
4223500 2680500  1  3 12  -8.8  979  65  2.2 3  1.7  83  135   58 178 -262  2
4223500 2680500  1  3 13  -8.3  979  72  3.2 4  1.6  80   34  111 181 -265  2
4223500 2680500  1  3 14  -8.2  978  59  2.8 4  1.6  75   25   99 184 -268  2
4223500 2680500  1  3 15  -8.5  978  67  3.4 5  1.5  73   16   68 186 -269  2
4223500 2680500  1  3 16  -9.5  978  53  2.5 3  1.5  74   12   27 183 -269  2
4223500 2680500  1  3 17 -11.5  978  56  2.1 3  1.4  79    0    0 177 -267  2
4223500 2680500  1  3 18 -11.6  978  75  2.5 4  1.3  82    0    0 177 -266  2
4223500 2680500  1  3 19 -12.8  978 118  3.2 4  1.3  84    0    0 178 -265  2
4223500 2680500  1  3 20 -13.1  978 126  3.2 3  1.2  85    0    0 175 -264  2
4223500 2680500  1  3 21 -12.8  978 124  4.0 2  1.2  82    0    0 172 -264  2
4223500 2680500  1  3 22 -13.8  978 114  4.3 1  1.1  78    0    0 167 -264  2
4223500 2680500  1  3 23 -14.8  978 135  3.1 0  1.0  78    0    0 161 -264  2
4223500 2680500  1  3 24 -12.6  978 145  3.8 0  1.0  73    0    0 160 -264  2
4223500 2680500  1  4  1 -13.0  978 141  3.9 1  1.0  67    0    0 165 -264  2
4223500 2680500  1  4  2 -13.5  978 142  2.4 1  0.9  67    0    0 166 -264  2
4223500 2680500  1  4  3 -13.3  977 109  2.0 0  0.9  67    0    0 163 -264  2
4223500 2680500  1  4  4 -13.6  977 108  3.7 0  0.9  66    0    0 161 -264  2
4223500 2680500  1  4  5 -13.8  977 126  3.3 1  0.9  66    0    0 163 -265  2
4223500 2680500  1  4  6 -13.3  977 126  3.6 1  0.9  65    0    0 166 -265  2
4223500 2680500  1  4  7 -13.2  977 130  2.9 0  0.9  62    0    0 164 -266  2
4223500 2680500  1  4  8 -13.1  977 127  2.3 0  0.9  62    0    0 162 -267  2
4223500 2680500  1  4  9 -11.8  977 124  2.7 1  0.9  60   13    9 167 -267  2
4223500 2680500  1  4 10 -10.2  977  95  2.8 1  1.0  58  121   24 173 -269  2
4223500 2680500  1  4 11  -7.0  978 152  1.3 1  1.1  54  200   41 177 -272  2
4223500 2680500  1  4 12  -7.6  977 148  1.0 2  1.2  53  190   39 183 -277  2
4223500 2680500  1  4 13  -5.2  978 209  0.1 2  1.3  54  138   70 189 -281  2
4223500 2680500  1  4 14  -4.6  977 186  0.3 2  1.4  52  180   36 193 -283  2
4223500 2680500  1  4 15  -4.5  977 151  0.4 2  1.5  52   95   45 195 -284  2
4223500 2680500  1  4 16  -5.9  977 311  0.5 0  1.5  56   13   29 189 -284  2
4223500 2680500  1  4 17  -8.2  976  28  1.1 1  1.5  64    0    0 183 -282  2
4223500 2680500  1  4 18  -9.3  977 200  1.5 1  1.5  72    0    0 184 -280  2
4223500 2680500  1  4 19  -9.8  977  61  1.3 1  1.4  76    0    0 182 -278  2
4223500 2680500  1  4 20 -10.6  977 217  2.0 2  1.4  78    0    0 184 -277  2
4223500 2680500  1  4 21  -8.9  977 217  1.5 3  1.5  77    0    0 191 -277  2
4223500 2680500  1  4 22  -9.7  978 205  2.2 3  1.5  76    0    0 194 -277  2
4223500 2680500  1  4 23 -10.4  977 217  2.3 2  1.4  77    0    0 189 -277  2
4223500 2680500  1  4 24 -10.2  977 233  2.4 0  1.4  78    0    0 179 -277  2
4223500 2680500  1  5  1 -10.4  977 216  2.7 2  1.4  80    0    0 178 -277  2
4223500 2680500  1  5  2 -10.1  977 241  2.9 2  1.4  76    0    0 185 -276  2
4223500 2680500  1  5  3 -10.5  977 244  3.6 2  1.3  70    0    0 185 -276  2
4223500 2680500  1  5  4 -11.3  976 238  4.4 2  1.2  71    0    0 185 -276  2
4223500 2680500  1  5  5 -10.6  976 245  4.3 2  1.1  67    0    0 184 -278  2
